Field,Πεδίο
Order,Σειρά
Width,Πλάτος
Icon,Εικόνισμα
Validation,Επικύρωση
Add Field,Προσθήκη πεδίου
Please Select Field,Επιλέξτε πεδίο
For delivery questions.,Για ερωτήσεις σχετικά με την παράδοση.
We can't find the quote item.,Δεν μπορούμε να βρούμε το στοιχείο quote.
We cannot configure the product.,Δεν μπορούμε να διαμορφώσουμε το προϊόν.
One-page checkout is turned off.,Ο έλεγχος μιας σελίδας είναι απενεργοποιημένος.
Guest checkout is disabled.,Ο έλεγχος επισκέπτη είναι απενεργοποιημένος.
E-mail cannot be empty.,Το μήνυμα ηλεκτρονικού ταχυδρομείου δεν μπορεί να είναι κενό.
Starts with field closed,Ξεκινά με κλειστό πεδίο
Starts with field opened,Ξεκινά με ανοιχτό πεδίο
Render field without collapse,Πεδίο αντιστοίχισης χωρίς κατάρρευση
3 Columns,3 Στήλες
2 Columns Style 1,2 στυλ στηλών 1
2 Columns Style 2,2 στυλ στηλών 2
Update Cart,Ενημερώστε το καλάθι
Qty,Ποσότητα
This address is also my billing address,Αυτή η διεύθυνση είναι επίσης η διεύθυνση χρέωσής μου
Billing Address,διεύθυνση χρέωσης
Save in address book,Αποθηκεύστε στο βιβλίο διευθύνσεων
My billing and shipping address are the same,Η διεύθυνση χρέωσης και αποστολής μου είναι ίδια
Update,Εκσυγχρονίζω
Cancel,Ματαίωση
Apply Discount,Εφαρμογή έκπτωσης
Cancel coupon,Ακύρωση κουπονιού
Use Coupon Code,Χρησιμοποιήστε τον κωδικό κουπονιού
Email Address,Διεύθυνση ηλεκτρονικού ταχυδρομείου
You can create an account after checkout.,Μπορείτε να δημιουργήσετε έναν λογαριασμό μετά το checkout.
Password,Κωδικός πρόσβασης
Login,Σύνδεση
You already have an account with us. Sign in or continue as guest.,Έχετε ήδη λογαριασμό μαζί μας. Συνδεθείτε ή συνεχίστε ως επισκέπτης.
Forgot Your Password?,Ξεχάσατε τον κωδικό σας?
Gift options,Επιλογές δώρων
Message:,Μήνυμα:
Edit,Επεξεργασία
Delete,Διαγράφω
Payment Method,Μέθοδος πληρωμής
No Payment method available.,Δεν υπάρχει διαθέσιμος τρόπος πληρωμής.
Place Order,Παραγγέλνω
Account Information,Πληροφορίες λογαριασμού
This address is also my shipping address,Αυτή η διεύθυνση είναι επίσης η διεύθυνση αποστολής μου
Shipping Address,Διεύθυνση αποστολής
Shipping Methods,Μέθοδοι αποστολής
Order Summary,Σύνοψη Παραγγελίας
View Details,Δείτε λεπτομέρειες
Options Details,Λεπτομέρειες επιλογών
Gift Message (optional),Μήνυμα δώρου (προαιρετικό)
To:,Προς την:
From:,Από:
Please specify a shipping method.,Προσδιορίστε μια μέθοδο αποστολής.
New Address,Νέα διεύθυνση
Can not remove item.,Δεν είναι δυνατή η κατάργηση του στοιχείου.
One Step Checkout,One Step Checkout
General,Γενικός
Enable One Step Checkout Solution,Ενεργοποιήστε τη λύση One-Step Checkout
Router Name,Όνομα δρομολογητή
