"All TYRES","الكفرات"
"TYRES BY BRAND","كفرات حسب العلامة التجارية"
"All AUTO PARTS","جميع قطع غيار السيارات"
"CAR INSURANCE","تأمين السيارات"
"Car Insurance","تأمين السيارات"
"PROMOTIONS &amp; OFFERS","العروض والتخفيضات"
"FITTING LOCATIONS","مواقع التركيب"
"ABOUT US","من نحن"
"CONTACT US","تواصل معنا"
"Contact Us","تواصل معنا"
"FAQS","الأسئلة الشائعة"
"Blog","المدونة"
"BLOG","المدونة"
"TYRESONLINE","تايرز اونلاين"
"e-mail us","راسلنا عبر البريد الإلكتروني"
"Add Vehicle","إضافة مركبة"
"Devendra","Patel"
"1 YEAR WARRANTY","كفالة لمدّة سنة واحدة"
"2 Years Warranty","ضمان لمدة سنتين"
"5 Years Warranty","ضمان لمدة خمس سنوات"
"1. The tyres supplied to you under this work order will be fitted ONLY to the Vehicle bearing the license plate number and the description specified here. Please contact Customer Service ifthere is a discrepancy here.","1. ينبغي تركيب الإطارات التي تمّ إرسالها لك بموجب هذا الطلب على السيارة التي تحمل رقم لوحة الترخيص والوصف المحدّدَيْن هنا. يرجى الاتصال بخدمة العملاء إذا حدث أيّ تباين في هذا المجال."
"2. Please refuse to accept delivery if the tyres being installed by the installer are not the exact same specifications as listed here and call us immediately.","2. يرجى عدم قبول استلام الإطارات التي يتولّى تركيبها مزوّد خدمة التركيب إذا لم تكن بالمواصفات ذاتها المدرجة هنا، والاتصال بنا على الفور."
"2nd Floor Office 223 Block C, Mardoof Bldg. Al Safa 1, Sheikh Zayed Rd. Dubai, UAE","الطابق الثاني، المكتب 223، بلوك سي،  مبنى مردوف الصفا 1، شارع الشيخ زايد، دبي، الإمارات العربية المتحدة"
"3 YEARS WARRANTY OR 30,000 KM'S - WITH NEW BRAKE PADS & DISCS","كفالة لمدّة 3 سنوات أو لمسافة 30.000 كلم - مع بطانات وأقراص جديدة للفرامل"
"3. The price you have paid includes new tyres, delivery, installation, balancing and disposal of your old tyres. Any additional Service Including Alignment will have to be paid by you to the installer directly. We do recommend you align your wheel at least once a year.","3. يشمل السعر الذي دفعته كلفة الإطارات الجديدة وتوصيلها وتركيبها وضبط توازنها والتخلص من الإطارات القديمة. إذا طلبت أيّ خدمةٍ أخرى، مثل ضبط استقامة العجلات أو غيرها، فيتعيّن عليك دفع كلفتها مباشرةً لمزوّد خدمة التركيب. كما ننصحك بضبط استقامة عجلات سيارتك مرةً واحدة في السنة على الأقل."
"360 Car Check","فحص شامل للسيارة"
"A PATTERN OF GREAT PRICES","خدمة استثنائية بأسعارٍ مميّزة"
"A Personal Chauffeur will be assigned to pick up and drop off your car.","سيتولّى سائقٌ شخصي استلام سيارتك وإعادتها إليك."
"ABOUT STOP&GO","نبذة عن ستوب أند غو"
"About Us","من نحن"
"AC Filter","فيلتر مكيّف الهواء"
"Ac filter","فيلتر مكيّف الهواء"
"AC Gas Top Up","تعبئة غاز مكيّف الهواء"
"ACCOUNT INFORMATION","معلومات الحساب"
"Account Information","معلومات الحساب"
"Action","الإجراء"
"ADD A NEW SAVED CARD","إضافة بطاقة محفوظة جديدة"
"Add a new saved card","إضافة بطاقة محفوظة جديدة"
"ADD NEW ADDRESS","إضافة عنوان جديد"
"Add New Address","إضافة عنوان جديد"
"Add Vehicle","إضافة مركبة"
"Added to Cart","تمت الإضافة إلى عربة التسوق"
"ADDRESS","العنوان"
"ADDRESS BOOK","دليل العناوين"
"Address Book","دليل العناوين"
"Air Filter","فيلتر مكيّف الهواء"
"Air filter","فيلتر مكيّف الهواء"
"All Auto Parts","قطع غيار السيارات"
