"My extensions","My extensions"
"Extensions Recommended for Your Store","Extensions Recommended for Your Store"
"These are the extensions that will help you enhance your customers shopping experience and improve your store sales performance.","These are the extensions that will help you enhance your customers shopping experience and improve your store sales performance."
Review(s),Review(s)
"Get it","Get it"
"Join our family of trusted partners","Join our family of trusted partners"
"We help partners give their businesses.","We help partners give their businesses."
"Become a Partner","Become a Partner"
"My Purchased Extensions","My Purchased Extensions"
"These are the MageWorx extensions you've purchased. If you enjoy using our products,
                      would you mind taking a moment to rate them? It won't take you more than a minute.","These are the MageWorx extensions you've purchased. If you enjoy using our products,
                      would you mind taking a moment to rate them? It won't take you more than a minute."
"Update Info","Update Info"
" Version %1 available!"," Version %1 available!"
"Latest" version","Latest" version"
"See Change Log","See Change Log"
"User Guide","User Guide"
"Rate it","Rate it"
"We are sorry you had a disappointing experience with MageWorx. Please, take a few minutes to share what went wrong & help us improve your experience.","We are sorry you had a disappointing experience with MageWorx. Please, take a few minutes to share what went wrong & help us improve your experience."
Message,Message
"Enter your email address so that we could get back to you ASAP.","Enter your email address so that we could get back to you ASAP."
Email,Email
"By clicking the send button, you agree to MageWorx","By clicking the send button, you agree to MageWorx"
"Privacy Policy","Privacy Policy"
"Please, take a quick minute to leave us a review:","Please, take a quick minute to leave us a review:"
"Review us on Magento Marketplace","Review us on Magento Marketplace"
"Click on the button to be taken directly to the review page.","Click on the button to be taken directly to the review page."
"Thank you for your feedback!","Thank you for your feedback!"
Send,Send
"My Extensions","My Extensions"
"MageWorx Extensions","MageWorx Extensions"
Settings,Settings
Notifications,Notifications
"Notify me about MageWorx Updates","Notify me about MageWorx Updates"
"Notify me about MageWorx Hot offers and Exlcusive deals","Notify me about MageWorx Hot offers and Exlcusive deals"
Extensions,Extensions
"Enable Extension Info Autoload","Enable Extension Info Autoload"
